symbol,company,sector,industry,headquaters
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota"
ABT,Abbott Laboratories,Health Care,Health Care Equipment & Services,"North Chicago, Illinois"
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois"
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland"
ACE,ACE Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland"
ACT,Actavis plc,Health Care,Pharmaceuticals,"Dublin, Ireland"
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California"
ADT,ADT Corp,Industrials,Diversified Commercial Services,"Boca Raton, Florida"
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia"
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut"
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia"
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts"
A,Agilent Technologies Inc,Health Care,Health Care Equipment & Services,"Santa Clara, California"
GAS,AGL Resources Inc.,Utilities,Gas Utilities,"Atlanta, Georgia"
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania"
ARG,Airgas Inc,Materials,Industrial Gases,"Radnor, Pennsylvania"
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts"
AA,Alcoa Inc,Materials,Aluminum,"New York, New York"
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut"
ATI,Allegheny Technologies Inc,Materials,Diversified Metals & Mining,"Pittsburgh, Pennsylvania"
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland"
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas"
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois"
ALTR,Altera Corp,Information Technology,Semiconductors,"San Jose, California"
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia"
AMZN,Amazon.com Inc,Consumer Discretionary,Internet Retail,"Seattle, Washington"
AEE,Ameren Corp,Utilities,MultiUtilities,"St. Louis, Missouri"
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas"
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio"
AXP,American Express Co,Financials,Consumer Finance,"New York, New York"
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York"
AMT,American Tower Corp A,Financials,Specialized REITs,"Boston, Massachusetts"
AMP,Ameriprise Financial,Financials,Diversified Financial Services,"Minneapolis, Minnesota"
ABC,AmerisourceBergen Corp,Health Care,Health Care Distribution & Services,"Chesterbrook, Pennsylvania"
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania"
AMGN,Amgen Inc,Health Care,Biotechnology,"Thousand Oaks, California"
APH,Amphenol Corp A,Industrials,Electrical Components & Equipment,"Wallingford, Connecticut"
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas"
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts"
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom"
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
AIV,Apartment Investment & Mgmt,Financials,REITs,"Denver, Colorado"
AAPL,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California"
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,"Santa Clara, California"
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois"
AIZ,Assurant Inc,Financials,Multi-line Insurance,"New York, New York"
T,AT&T Inc,Telecommunications Services,Integrated Telecommunications Services,"Dallas, Texas"
ADSK,Autodesk Inc,Information Technology,Application Software,"San Rafael, California"
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey"
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida"
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee"
AVGO,Avago Technologies,Information Technology,Semiconductors,"San Jose, California"
AVB,"AvalonBay Communities, Inc.",Financials,Residential REITs,"Arlington, Virginia[3]"
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California"
BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado"
BAC,Bank of America Corp,Financials,Banks,"Charlotte, North Carolina"
BK,The Bank of New York Mellon Corp.,Financials,Banks,"New York, New York"
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment & Services,"Murray Hill, New Jersey"
BAX,Baxter International Inc.,Health Care,Health Care Equipment & Services,"Deerfield, Illinois"
BBT,BB&T Corporation,Financials,Banks,"Winston-Salem, North Carolina"
BDX,Becton Dickinson,Health Care,Health Care Equipment & Services,"Franklin Lakes, New Jersey"
BBBY,Bed Bath & Beyond,Consumer Discretionary,Specialty Stores,"Union, New Jersey"
BRK-B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska"
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota"
